CrimeDate,CrimeTime,Description,Weapon,District,Neighborhood,Total Incidents
9/15/17,16:30:00,LARCENY,,SOUTHWESTERN,Shipley Hill,1
9/15/17,16:25:00,AGG. ASSAULT,OTHER,SOUTHERN,South Baltimore,1
9/15/17,16:24:00,AGG. ASSAULT,KNIFE,NORTHWESTERN,Garwyn Oaks,1
9/15/17,16:20:00,AGG. ASSAULT,HANDS,WESTERN,Sandtown-Winchester,1
9/15/17,16:17:00,BURGLARY,,CENTRAL,Downtown,1
9/15/17,16:09:00,AGG. ASSAULT,KNIFE,NORTHERN,Glen Oaks,1
9/15/17,16:09:00,BURGLARY,,SOUTHERN,New Southwest/Mount Clare,1
9/15/17,16:00:00,LARCENY,,SOUTHWESTERN,Fairmont,1
9/15/17,15:45:00,BURGLARY,,EASTERN,East Baltimore Midway,1
9/15/17,15:25:00,BURGLARY,,NORTHEASTERN,Original Northwood,1
9/15/17,15:00:00,AGG. ASSAULT,OTHER,EASTERN,Broadway East,1
9/15/17,14:56:00,LARCENY FROM AUTO,,CENTRAL,Seton Hill,1
9/15/17,14:45:00,ROBBERY - RESIDENCE,,CENTRAL,Mid-Town Belvedere,1
9/15/17,14:45:00,LARCENY,,NORTHWESTERN,Grove Park,1
9/15/17,14:40:00,ROBBERY - COMMERCIAL,,CENTRAL,Downtown,1
9/15/17,14:30:00,AGG. ASSAULT,HANDS,NORTHWESTERN,Arlington,1
9/15/17,14:30:00,BURGLARY,,NORTHEASTERN,Hamilton Hills,1
9/15/17,14:12:00,ROBBERY - STREET,,EASTERN,East Baltimore Midway,1
9/15/17,14:00:00,ROBBERY - STREET,,SOUTHEASTERN,McElderry Park,1
9/15/17,13:45:00,BURGLARY,,CENTRAL,Seton Hill,1
9/15/17,13:40:00,BURGLARY,,SOUTHEASTERN,Kresson,1
9/15/17,13:30:00,LARCENY,,SOUTHEASTERN,Canton,1
9/15/17,13:30:00,LARCENY,,EASTERN,Broadway East,1
9/15/17,13:30:00,LARCENY FROM AUTO,,NORTHEASTERN,Hamilton Hills,1
9/15/17,13:20:00,BURGLARY,,WESTERN,Easterwood,1
9/15/17,13:20:00,LARCENY,,SOUTHERN,Port Covington,1
9/15/17,13:00:00,COMMON ASSAULT,HANDS,NORTHEASTERN,,1
9/15/17,12:40:00,COMMON ASSAULT,HANDS,SOUTHERN,Westport,1
9/15/17,12:10:00,BURGLARY,,NORTHERN,Abell,1
9/15/17,11:55:00,LARCENY,,CENTRAL,Downtown,1
9/15/17,11:40:00,LARCENY FROM AUTO,,CENTRAL,Penn-Fallsway,1
9/15/17,11:35:00,LARCENY,,CENTRAL,Downtown,1
9/15/17,11:30:00,ROBBERY - RESIDENCE,,SOUTHERN,Washington Village/Pigtow,1
9/15/17,11:00:00,LARCENY,,WESTERN,Harlem Park,1
9/15/17,10:44:00,COMMON ASSAULT,HANDS,NORTHWESTERN,Howard Park,1
9/15/17,10:30:00,BURGLARY,,CENTRAL,Reservoir Hill,1
9/15/17,9:30:00,AUTO THEFT,,NORTHERN,Hampden,1
9/15/17,8:45:00,AGG. ASSAULT,FIREARM,SOUTHWESTERN,Shipley Hill,1
9/15/17,8:30:00,BURGLARY,,NORTHEASTERN,Armistead Gardens,1
9/15/17,8:00:00,ROBBERY - STREET,FIREARM,SOUTHEASTERN,Highlandtown,1
9/15/17,7:50:00,ROBBERY - STREET,,CENTRAL,Seton Hill,1
9/15/17,7:30:00,COMMON ASSAULT,HANDS,NORTHEASTERN,Cedonia,1
